dataset,model_key,loss,eval_split,baseline,strategy,metric,n_seeds,n_queries_min,baseline_mean,strategy_mean,mean_diff,seed_sd_diff,paired_effect_dz,seed_win_rate,hierarchical_ci95_low,hierarchical_ci95_high
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-full,NDCG@10,10,32,0.03793594668714668,0.03108366051045424,-0.006852286176692432,0.010556060378280083,-0.64913290859832,0.2,-0.016125879504738514,0.0017189597396258794
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-full,MRR@10,10,32,0.05977926587301587,0.05814608134920635,-0.0016331845238095235,0.022901137336656018,-0.07131455961339596,0.4,-0.019725260416666668,0.017678943452380934
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-full,MAP@100,10,32,0.007420413208994915,0.0065672973942692125,-0.0008531158147257022,0.0006422726722682633,-1.328276683036849,0.2,-0.0016634669855560434,-9.846976815059574e-05
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-full,Recall@100,10,32,0.04246875,0.0384375,-0.00403125,0.0031952180524617998,-1.2616509840053225,0.2,-0.00684375,-0.001187500000000001
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-label-only,NDCG@10,10,32,0.03793594668714668,0.026264161720879076,-0.011671784966267602,0.011422663605075845,-1.0218093931332317,0.2,-0.02116633800841808,-0.0027538198942651296
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-label-only,MRR@10,10,32,0.05977926587301587,0.041674107142857145,-0.01810515873015873,0.021403938281926764,-0.8458797858451365,0.2,-0.03755933779761905,0.0005298239087301562
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-label-only,MAP@100,10,32,0.007420413208994915,0.00671655049268112,-0.0007038627163137943,0.0005529781759041653,-1.2728580384983912,0.1,-0.0014459474857238049,8.846787591677809e-05
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-label-only,Recall@100,10,32,0.04246875,0.038875,-0.0035937500000000006,0.0023810686355546793,-1.509301305446335,0.0,-0.0063125,-0.00071875
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-matched-mixed,NDCG@10,10,32,0.03793594668714668,0.10817135424801086,0.07023540756086417,0.01575221148562767,4.458764893103868,1.0,0.044989940509799486,0.09617643320160404
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-matched-mixed,MRR@10,10,32,0.05977926587301587,0.16334449404761903,0.10356522817460316,0.030405179455569396,3.4061705942548826,1.0,0.061967292906746026,0.1436267361111111
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-matched-mixed,MAP@100,10,32,0.007420413208994915,0.021350504004116862,0.01393009079512195,0.0032429431914150564,4.295508731697383,1.0,0.009936126925758626,0.018136311905887062
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-matched-mixed,Recall@100,10,32,0.04246875,0.07768749999999999,0.03521875,0.007000201509996377,5.031105168859379,1.0,0.025937500000000002,0.04484375
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-mixed,NDCG@10,10,32,0.03793594668714668,0.1119676082852129,0.07403166159806623,0.015490523766893211,4.77915806541602,1.0,0.047178691320262055,0.10131428013947612
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-mixed,MRR@10,10,32,0.05977926587301587,0.15973958333333332,0.09996031746031746,0.035876822578275444,2.7862087631151207,1.0,0.057000620039682544,0.1436024925595238
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-mixed,MAP@100,10,32,0.007420413208994915,0.023796512365190075,0.016376099156195163,0.002550869049234004,6.419811773996283,1.0,0.012204074574566267,0.02096376211271482
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-mixed,Recall@100,10,32,0.04246875,0.0818125,0.03934375,0.00420412846860744,9.358360548157101,1.0,0.03025,0.0488125
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-no-ontology,NDCG@10,10,32,0.03793594668714668,0.09499777580198435,0.05706182911483766,0.019636797704213425,2.9058622477225007,1.0,0.0352521636526745,0.07965996103818795
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-no-ontology,MRR@10,10,32,0.05977926587301587,0.1668923611111111,0.10711309523809524,0.05346344246297393,2.0034829465438246,1.0,0.061405722966269845,0.15644766865079363
