dataset,model_key,loss,eval_split,training_seed,strategy,metric,n_queries,mean
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-full,NDCG@10,32,0.02984504380464592
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-full,MRR@10,32,0.03515625
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-full,MAP@100,32,0.00621083132068792
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-full,Recall@100,32,0.0378125
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-label-only,NDCG@10,32,0.02239898385946043
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-label-only,MRR@10,32,0.03050595238095238
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-label-only,MAP@100,32,0.006026597278201283
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-label-only,Recall@100,32,0.036875
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-matched-mixed,NDCG@10,32,0.12816222877422329
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-matched-mixed,MRR@10,32,0.17708333333333334
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-matched-mixed,MAP@100,32,0.022800908007483103
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-matched-mixed,Recall@100,32,0.0725
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-mixed,NDCG@10,32,0.10141112325641134
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-mixed,MRR@10,32,0.14873511904761905
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-mixed,MAP@100,32,0.023880554493551788
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-mixed,Recall@100,32,0.081875
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-no-ontology,NDCG@10,32,0.09272017804469736
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-no-ontology,MRR@10,32,0.13076636904761904
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-no-ontology,MAP@100,32,0.015494926492227877
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-no-ontology,Recall@100,32,0.0684375
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-rank-matched,NDCG@10,32,0.03683101832307783
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-rank-matched,MRR@10,32,0.05078125
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-rank-matched,MAP@100,32,0.007164313646302384
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-rank-matched,Recall@100,32,0.043125000000000004
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-shuffled-graph,NDCG@10,32,0.12079640053886867
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-shuffled-graph,MRR@10,32,0.18072916666666666
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-shuffled-graph,MAP@100,32,0.02174188145817713
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-shuffled-graph,Recall@100,32,0.079375
course_skill_atlas,bge-base,cached-mnrl,dev,11,DPR-Random,NDCG@10,32,0.07209663226051963
course_skill_atlas,bge-base,cached-mnrl,dev,11,DPR-Random,MRR@10,32,0.1234375
course_skill_atlas,bge-base,cached-mnrl,dev,11,DPR-Random,MAP@100,32,0.019825575434354988
course_skill_atlas,bge-base,cached-mnrl,dev,11,DPR-Random,Recall@100,32,0.0775
course_skill_atlas,bge-base,cached-mnrl,dev,11,DenseNeg,NDCG@10,32,0.06262228911628882
course_skill_atlas,bge-base,cached-mnrl,dev,11,DenseNeg,MRR@10,32,0.11488095238095238
course_skill_atlas,bge-base,cached-mnrl,dev,11,DenseNeg,MAP@100,32,0.011953849364464187
course_skill_atlas,bge-base,cached-mnrl,dev,11,DenseNeg,Recall@100,32,0.0621875
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-full,NDCG@10,32,0.022558833014203
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-full,MRR@10,32,0.04196428571428572
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-full,MAP@100,32,0.006216990389656557
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-full,Recall@100,32,0.0378125
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-label-only,NDCG@10,32,0.023585277118034268
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-label-only,MRR@10,32,0.03211805555555555
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-label-only,MAP@100,32,0.007245384083792814
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-label-only,Recall@100,32,0.040625
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-matched-mixed,NDCG@10,32,0.0977769547261939
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-matched-mixed,MRR@10,32,0.17864583333333334
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-matched-mixed,MAP@100,32,0.018435571220997243
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-matched-mixed,Recall@100,32,0.075625
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-mixed,NDCG@10,32,0.07666567766089857
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-mixed,MRR@10,32,0.08571428571428572
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-mixed,MAP@100,32,0.017714885205826893
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-mixed,Recall@100,32,0.07875
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-no-ontology,NDCG@10,32,0.11451671363417978
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-no-ontology,MRR@10,32,0.21123511904761905
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-no-ontology,MAP@100,32,0.020156968466105263
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-no-ontology,Recall@100,32,0.08
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-rank-matched,NDCG@10,32,0.026220989483025786
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-rank-matched,MRR@10,32,0.050347222222222224
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-rank-matched,MAP@100,32,0.00792203736001053
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-rank-matched,Recall@100,32,0.045625
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-shuffled-graph,NDCG@10,32,0.14229358777833995
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-shuffled-graph,MRR@10,32,0.2359375
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-shuffled-graph,MAP@100,32,0.022634694848833264
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-shuffled-graph,Recall@100,32,0.0740625
course_skill_atlas,bge-base,cached-mnrl,dev,111,DPR-Random,NDCG@10,32,0.06368073774270039
course_skill_atlas,bge-base,cached-mnrl,dev,111,DPR-Random,MRR@10,32,0.08394097222222222
course_skill_atlas,bge-base,cached-mnrl,dev,111,DPR-Random,MAP@100,32,0.01843795785576685
course_skill_atlas,bge-base,cached-mnrl,dev,111,DPR-Random,Recall@100,32,0.083125
course_skill_atlas,bge-base,cached-mnrl,dev,111,DenseNeg,NDCG@10,32,0.06685304288617401
course_skill_atlas,bge-base,cached-mnrl,dev,111,DenseNeg,MRR@10,32,0.14201388888888888
course_skill_atlas,bge-base,cached-mnrl,dev,111,DenseNeg,MAP@100,32,0.010866930454643296
course_skill_atlas,bge-base,cached-mnrl,dev,111,DenseNeg,Recall@100,32,0.06125
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-full,NDCG@10,32,0.023038478321173124
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-full,MRR@10,32,0.04791666666666666
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-full,MAP@100,32,0.005982320680086401
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-full,Recall@100,32,0.035312500000000004
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-label-only,NDCG@10,32,0.02742429836547232
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-label-only,MRR@10,32,0.05078125
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-label-only,MAP@100,32,0.006380254441478338
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-label-only,Recall@100,32,0.036875
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-matched-mixed,NDCG@10,32,0.0853516932576236
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-matched-mixed,MRR@10,32,0.11930803571428572
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-matched-mixed,MAP@100,32,0.023548496862666524
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-matched-mixed,Recall@100,32,0.0865625
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-mixed,NDCG@10,32,0.0910770133299995
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-mixed,MRR@10,32,0.13550347222222223
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-mixed,MAP@100,32,0.024685323819380756
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-mixed,Recall@100,32,0.0825
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-no-ontology,NDCG@10,32,0.10723997570964894
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-no-ontology,MRR@10,32,0.20168650793650794
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-no-ontology,MAP@100,32,0.016683726975426312
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-no-ontology,Recall@100,32,0.06625
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-rank-matched,NDCG@10,32,0.03416791774840037
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-rank-matched,MRR@10,32,0.05029761904761905
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-rank-matched,MAP@100,32,0.007227857325147553
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-rank-matched,Recall@100,32,0.0428125
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-shuffled-graph,NDCG@10,32,0.10703759867906025
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-shuffled-graph,MRR@10,32,0.15729166666666666
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-shuffled-graph,MAP@100,32,0.019988340056227634
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-shuffled-graph,Recall@100,32,0.07062500000000001
course_skill_atlas,bge-base,cached-mnrl,dev,22,DPR-Random,NDCG@10,32,0.04784320643231448
course_skill_atlas,bge-base,cached-mnrl,dev,22,DPR-Random,MRR@10,32,0.08784722222222222
course_skill_atlas,bge-base,cached-mnrl,dev,22,DPR-Random,MAP@100,32,0.015174820045368527
course_skill_atlas,bge-base,cached-mnrl,dev,22,DPR-Random,Recall@100,32,0.073125
course_skill_atlas,bge-base,cached-mnrl,dev,22,DenseNeg,NDCG@10,32,0.07373060940774347
course_skill_atlas,bge-base,cached-mnrl,dev,22,DenseNeg,MRR@10,32,0.14479166666666668
course_skill_atlas,bge-base,cached-mnrl,dev,22,DenseNeg,MAP@100,32,0.014683178398354188
course_skill_atlas,bge-base,cached-mnrl,dev,22,DenseNeg,Recall@100,32,0.0640625
course_skill_atlas,bge-base,cached-mnrl,dev,33,CA-HNM-full,NDCG@10,32,0.02951016994370815
course_skill_atlas,bge-base,cached-mnrl,dev,33,CA-HNM-full,MRR@10,32,0.058854166666666666
course_skill_atlas,bge-base,cached-mnrl,dev,33,CA-HNM-full,MAP@100,32,0.006097398580994786
course_skill_atlas,bge-base,cached-mnrl,dev,33,CA-HNM-full,Recall@100,32,0.0365625
course_skill_atlas,bge-base,cached-mnrl,dev,33,CA-HNM-label-only,NDCG@10,32,0.023741070475487302
course_skill_atlas,bge-base,cached-mnrl,dev,33,CA-HNM-label-only,MRR@10,32,0.04487847222222222
course_skill_atlas,bge-base,cached-mnrl,dev,33,CA-HNM-label-only,MAP@100,32,0.006217951092117768
course_skill_atlas,bge-base,cached-mnrl,dev,33,CA-HNM-label-only,Recall@100,32,0.0359375
course_skill_atlas,bge-base,cached-mnrl,dev,33,CA-HNM-matched-mixed,NDCG@10,32,0.09013200842001097
course_skill_atlas,bge-base,cached-mnrl,dev,33,CA-HNM-matched-mixed,MRR@10,32,0.13489583333333333
course_skill_atlas,bge-base,cached-mnrl,dev,33,CA-HNM-matched-mixed,MAP@100,32,0.020733398894198358
course_skill_atlas,bge-base,cached-mnrl,dev,33,CA-HNM-matched-mixed,Recall@100,32,0.0790625
course_skill_atlas,bge-base,cached-mnrl,dev,33,CA-HNM-mixed,NDCG@10,32,0.10749170268214689
course_skill_atlas,bge-base,cached-mnrl,dev,33,CA-HNM-mixed,MRR@10,32,0.14453125
course_skill_atlas,bge-base,cached-mnrl,dev,33,CA-HNM-mixed,MAP@100,32,0.023228059806578164
course_skill_atlas,bge-base,cached-mnrl,dev,33,CA-HNM-mixed,Recall@100,32,0.0809375
course_skill_atlas,bge-base,cached-mnrl,dev,33,CA-HNM-no-ontology,NDCG@10,32,0.09215146284699832
course_skill_atlas,bge-base,cached-mnrl,dev,33,CA-HNM-no-ontology,MRR@10,32,0.1746031746031746
