dataset,model_key,loss,eval_split,training_seed,strategy,metric,n_queries,mean
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-full,NDCG@10,32,0.01944222113278702
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-full,MRR@10,32,0.027083333333333334
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-full,MAP@100,32,0.005933093877933941
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-full,Recall@100,32,0.034375
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-rank-matched,NDCG@10,32,0.011251745527761476
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-rank-matched,MRR@10,32,0.013578869047619048
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-rank-matched,MAP@100,32,0.005449799196866556
course_skill_atlas,bge-base,cached-mnrl,dev,11,CA-HNM-rank-matched,Recall@100,32,0.0371875
course_skill_atlas,bge-base,cached-mnrl,dev,11,DPR-Random,NDCG@10,32,0.0950404019030717
course_skill_atlas,bge-base,cached-mnrl,dev,11,DPR-Random,MRR@10,32,0.16965525793650793
course_skill_atlas,bge-base,cached-mnrl,dev,11,DPR-Random,MAP@100,32,0.02078118013153791
course_skill_atlas,bge-base,cached-mnrl,dev,11,DPR-Random,Recall@100,32,0.084375
course_skill_atlas,bge-base,cached-mnrl,dev,11,DenseNeg,NDCG@10,32,0.05844717253073541
course_skill_atlas,bge-base,cached-mnrl,dev,11,DenseNeg,MRR@10,32,0.1119171626984127
course_skill_atlas,bge-base,cached-mnrl,dev,11,DenseNeg,MAP@100,32,0.012585763779572549
course_skill_atlas,bge-base,cached-mnrl,dev,11,DenseNeg,Recall@100,32,0.0659375
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-full,NDCG@10,32,0.015292262496050332
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-full,MRR@10,32,0.027083333333333334
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-full,MAP@100,32,0.00535381924661101
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-full,Recall@100,32,0.03375
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-rank-matched,NDCG@10,32,0.016283689360437226
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-rank-matched,MRR@10,32,0.020610119047619047
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-rank-matched,MAP@100,32,0.006342315092678735
course_skill_atlas,bge-base,cached-mnrl,dev,111,CA-HNM-rank-matched,Recall@100,32,0.0384375
course_skill_atlas,bge-base,cached-mnrl,dev,111,DPR-Random,NDCG@10,32,0.10800041892623244
course_skill_atlas,bge-base,cached-mnrl,dev,111,DPR-Random,MRR@10,32,0.13472222222222222
course_skill_atlas,bge-base,cached-mnrl,dev,111,DPR-Random,MAP@100,32,0.02369945462132352
course_skill_atlas,bge-base,cached-mnrl,dev,111,DPR-Random,Recall@100,32,0.0859375
course_skill_atlas,bge-base,cached-mnrl,dev,111,DenseNeg,NDCG@10,32,0.08539214761958472
course_skill_atlas,bge-base,cached-mnrl,dev,111,DenseNeg,MRR@10,32,0.16786954365079365
course_skill_atlas,bge-base,cached-mnrl,dev,111,DenseNeg,MAP@100,32,0.015212812660922378
course_skill_atlas,bge-base,cached-mnrl,dev,111,DenseNeg,Recall@100,32,0.0675
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-full,NDCG@10,32,0.021680042391126402
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-full,MRR@10,32,0.057291666666666664
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-full,MAP@100,32,0.005879237571761136
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-full,Recall@100,32,0.031875
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-rank-matched,NDCG@10,32,0.012032754666847353
course_skill_atlas,bge-base,cached-mnrl,dev,22,CA-HNM-rank-matched,MRR@10,32,0.015190972222222222
