profile,dataset,encoder,strategy,input_queries,retained_negative_queries,negative_count,retained_triplet_queries,triplet_count
core,course_skill_atlas,bge-base,DPR-Random,227,227,908,227,908
core,course_skill_atlas,bge-base,DenseNeg,227,227,908,227,908
core,course_skill_atlas,bge-base,CA-HNM-rank-matched,227,26,92,26,92
core,course_skill_atlas,bge-base,CA-HNM-full,227,26,92,26,92
core,course_skill_atlas,e5-base,DPR-Random,227,227,908,227,908
core,course_skill_atlas,e5-base,DenseNeg,227,227,908,227,908
core,course_skill_atlas,e5-base,CA-HNM-rank-matched,227,27,94,27,94
core,course_skill_atlas,e5-base,CA-HNM-full,227,27,94,27,94
core,mooccubex,bge-base,DPR-Random,3500,3500,14000,3500,14000
core,mooccubex,bge-base,DenseNeg,3500,3500,14000,3500,14000
core,mooccubex,bge-base,CA-HNM-rank-matched,3500,3500,14000,3500,14000
core,mooccubex,bge-base,CA-HNM-full,3500,3500,14000,3500,14000
core,mooccubex,e5-base,DPR-Random,3500,3500,14000,3500,14000
core,mooccubex,e5-base,DenseNeg,3500,3500,14000,3500,14000
core,mooccubex,e5-base,CA-HNM-rank-matched,3500,3500,14000,3500,14000
core,mooccubex,e5-base,CA-HNM-full,3500,3500,14000,3500,14000
expanded,course_skill_atlas,bge-base,DPR-Random,227,227,908,227,908
expanded,course_skill_atlas,bge-base,DenseNeg,227,227,908,227,908
expanded,course_skill_atlas,bge-base,CA-HNM-rank-matched,227,26,92,26,92
expanded,course_skill_atlas,bge-base,CA-HNM-full,227,26,92,26,92
expanded,course_skill_atlas,bge-base,CA-HNM-matched-mixed,227,227,908,227,908
expanded,course_skill_atlas,bge-base,CA-HNM-mixed,227,227,908,227,908
expanded,course_skill_atlas,bge-base,CA-HNM-label-only,227,26,92,26,92
expanded,course_skill_atlas,bge-base,CA-HNM-shuffled-graph,227,225,898,225,898
expanded,course_skill_atlas,bge-base,CA-HNM-no-ontology,227,227,908,227,908
expanded,mooccubex,bge-base,DPR-Random,3500,3500,14000,3500,14000
expanded,mooccubex,bge-base,DenseNeg,3500,3500,14000,3500,14000
expanded,mooccubex,bge-base,CA-HNM-rank-matched,3500,3500,14000,3500,14000
expanded,mooccubex,bge-base,CA-HNM-full,3500,3500,14000,3500,14000
expanded,mooccubex,bge-base,CA-HNM-matched-mixed,3500,3500,14000,3500,14000
expanded,mooccubex,bge-base,CA-HNM-mixed,3500,3500,14000,3500,14000
expanded,mooccubex,bge-base,CA-HNM-label-only,3500,3500,14000,3500,14000
expanded,mooccubex,bge-base,CA-HNM-shuffled-graph,3500,3500,14000,3500,14000
expanded,mooccubex,bge-base,CA-HNM-no-ontology,3500,3500,14000,3500,14000
